id,title,description,link,image_link,availability,price,sale_price,condition,brand,mpn,identifier_exists,google_product_category,product_type,color,gender,age_group,material,custom_label_0
AG-001,Argollas Cristal Amarillo – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Amarillo de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm de Ancho y 3cm de Largo. Colección Argollas de cristal. Código AG-001.",https://karivejoyas.github.io/catalogo/p/AG-001.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-amarillo.jpg,in_stock,9990 CLP,,new,Karivé Joyas,AG-001,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Amarillo,female,adult,Acero quirúrgico,Argollas de cristal
AG-002,Argollas Luna Azul – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Luna Azul de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-002.",https://karivejoyas.github.io/catalogo/p/AG-002.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-azul-rey.jpg,in_stock,9990 CLP,,new,Karivé Joyas,AG-002,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Azul,female,adult,Acero quirúrgico,Argollas de cristal
AG-003,Argollas Cristal Verde Olivo – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Verde Olivo de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 3cm de Ancho y 3cm de Largo. Colección Argollas de cristal. Código AG-003.",https://karivejoyas.github.io/catalogo/p/AG-003.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-verde-oliva.jpg,in_stock,6990 CLP,,new,Karivé Joyas,AG-003,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Verde,female,adult,Acero quirúrgico,Argollas de cristal
AG-004,Argollas Cristal Rojo – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Rojo de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm. Colección Argollas de cristal. Código AG-004.",https://karivejoyas.github.io/catalogo/p/AG-004.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-rojo.jpg,in_stock,7990 CLP,,new,Karivé Joyas,AG-004,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Rojo,female,adult,Acero quirúrgico,Argollas de cristal
AG-005,Argollas Cristal Rojo Intenso – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Rojo Intenso de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-005.",https://karivejoyas.github.io/catalogo/p/AG-005.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-rojo2.jpg,in_stock,6990 CLP,,new,Karivé Joyas,AG-005,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Rojo,female,adult,Acero quirúrgico,Argollas de cristal
AG-006,Argollas Luna Turquesa – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Luna Turquesa de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-006.",https://karivejoyas.github.io/catalogo/p/AG-006.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-turquesa2.jpg,in_stock,9990 CLP,,new,Karivé Joyas,AG-006,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Turquesa,female,adult,Acero quirúrgico,Argollas de cristal
AG-007,Argollas Luna Lila – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Luna Lila de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-007.",https://karivejoyas.github.io/catalogo/p/AG-007.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-lila.jpg,in_stock,9990 CLP,,new,Karivé Joyas,AG-007,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Lila,female,adult,Acero quirúrgico,Argollas de cristal
AG-008,Argollas Luna Negra – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Luna Negra de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-008.",https://karivejoyas.github.io/catalogo/p/AG-008.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-negro.jpg,in_stock,9990 CLP,,new,Karivé Joyas,AG-008,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Negro,female,adult,Acero quirúrgico,Argollas de cristal
AG-009,Argollas Cristal Multicolor – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Multicolor de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-009.",https://karivejoyas.github.io/catalogo/p/AG-009.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-multicolor.jpg,in_stock,6990 CLP,,new,Karivé Joyas,AG-009,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Multicolor,female,adult,Acero quirúrgico,Argollas de cristal
AG-010,Argollas Cristal Transparente – Aros artesanales hechos a mano | Karivé Joyas,"Argollas Cristal Transparente de Karivé Joyas. Aros artesanales hechos a mano en Chile, con base de acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-010.",https://karivejoyas.github.io/catalogo/p/AG-010.html,https://karivejoyas.github.io/catalogo/assets/productos/argollas-transparente.jpg,in_stock,6990 CLP,,new,Karivé Joyas,AG-010,no,Apparel & Accessories > Jewelry > Earrings,Joyería > Aros > Argollas de cristal,Transparente,female,adult,Acero quirúrgico,Argollas de cristal
