id,title,description,availability,condition,price,sale_price,link,image_link,brand,product_type,google_product_category
AG-001,Argollas Cristal Amarillo,"Argollas Cristal Amarillo de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de Ancho y 3cm de Largo. Colección Argollas de cristal. Código AG-001.",in stock,new,9990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-001,https://karivejoyas.github.io/catalogo/assets/productos/argollas-amarillo.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-002,Argollas Luna Azul,"Argollas Luna Azul de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-002.",in stock,new,9990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-002,https://karivejoyas.github.io/catalogo/assets/productos/argollas-azul-rey.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-003,Argollas Cristal Verde Olivo,"Argollas Cristal Verde Olivo de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm de Ancho y 3cm de Largo. Colección Argollas de cristal. Código AG-003.",in stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-003,https://karivejoyas.github.io/catalogo/assets/productos/argollas-verde-oliva.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-004,Argollas Cristal Rojo,"Argollas Cristal Rojo de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm. Colección Argollas de cristal. Código AG-004.",in stock,new,7990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-004,https://karivejoyas.github.io/catalogo/assets/productos/argollas-rojo.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-005,Argollas Cristal Rojo Intenso,"Argollas Cristal Rojo Intenso de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-005.",in stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-005,https://karivejoyas.github.io/catalogo/assets/productos/argollas-rojo2.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-006,Argollas Luna Turquesa,"Argollas Luna Turquesa de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-006.",in stock,new,9990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-006,https://karivejoyas.github.io/catalogo/assets/productos/argollas-turquesa2.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-007,Argollas Luna Lila,"Argollas Luna Lila de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-007.",in stock,new,9990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-007,https://karivejoyas.github.io/catalogo/assets/productos/argollas-lila.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-008,Argollas Luna Negra,"Argollas Luna Negra de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de Ancho y 3.5cm de Largo. Colección Argollas de cristal. Código AG-008.",in stock,new,9990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-008,https://karivejoyas.github.io/catalogo/assets/productos/argollas-negro.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-009,Argollas Cristal Multicolor,"Argollas Cristal Multicolor de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-009.",in stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-009,https://karivejoyas.github.io/catalogo/assets/productos/argollas-multicolor.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-010,Argollas Cristal Transparente,"Argollas Cristal Transparente de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3.5cm. Colección Argollas de cristal. Código AG-010.",in stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-010,https://karivejoyas.github.io/catalogo/assets/productos/argollas-transparente.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-011,Argollas Mostacillas,"Argollas Mostacillas de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm. Colección Argollas de cristal. Código AG-011.",in stock,new,8990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-011,https://karivejoyas.github.io/catalogo/assets/productos/argollas-pave.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-012,Argollas Cristal Turquesa,"Argollas Cristal Turquesa de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-012.",out of stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-012,https://karivejoyas.github.io/catalogo/assets/productos/AG-012.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-013,Argollas Abanico Negro,"Argollas Abanico Negro de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 7cm. Colección Argollas de cristal. Código AG-013.",in stock,new,12990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-013,https://karivejoyas.github.io/catalogo/assets/productos/argollas-negro-abanico.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-014,Argolla Cristal Aurora Azul,"Argolla Cristal Aurora Azul de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-014.",out of stock,new,8990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-014,https://karivejoyas.github.io/catalogo/assets/productos/AG-014.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-015,Argollas Mandala Dorado,"Argollas Mandala Dorado de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Tejido a mano · dorado. Colección Argollas de cristal. Código AG-015.",in stock,new,12990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-015,https://karivejoyas.github.io/catalogo/assets/productos/argollas-mandala-dorado.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-016,Argolla Cristal Aurora Blanco,"Argolla Cristal Aurora Blanco de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-016.",out of stock,new,8990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-016,https://karivejoyas.github.io/catalogo/assets/productos/AG-016.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-017,Argolla Cristal Aurora Dorado,"Argolla Cristal Aurora Dorado de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-017.",out of stock,new,8990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-017,https://karivejoyas.github.io/catalogo/assets/productos/AG-017.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-018,Argolla Cristal Aurora Rosa,"Argolla Cristal Aurora Rosa de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-018.",out of stock,new,8990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-018,https://karivejoyas.github.io/catalogo/assets/productos/AG-018.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-019,Argollas Cristal Rosa,"Argollas Cristal Rosa de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 3cm. Colección Argollas de cristal. Código AG-019.",out of stock,new,6990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-019,https://karivejoyas.github.io/catalogo/assets/productos/AG-019.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
AG-020,Argollas Mandala Estrella,"Argollas Mandala Estrella de Karivé Joyas. Aros artesanales hechos a mano en Chile, en acero quirúrgico. Medida Aprox. 4cm de alto y de ancho 3cm. Colección Argollas de cristal. Código AG-020.",out of stock,new,12990 CLP,,https://karivejoyas.github.io/catalogo/?p=AG-020,https://karivejoyas.github.io/catalogo/assets/productos/AG-020.jpg,Karivé Joyas,Argollas de cristal,Apparel & Accessories > Jewelry > Earrings
